Time (s),Channel A (uA),Channel B (uA)
0.0,1.0041,1.5028
1.0,1.0099,1.4922
2.0,1.004,1.4938
3.0,0.9844,1.4634
4.0,1.0109,1.527
5.0,1.0054,1.5172
6.0,0.9936,1.4951
7.0,1.007,1.5116
8.0,1.0044,1.5042
9.0,1.0035,1.4917
10.0,1.0003,1.5147
11.0,1.0066,1.4953
12.0,0.9912,1.4951
13.0,0.998,1.4881
14.0,0.9942,1.5068
15.0,1.0072,1.4985
16.0,1.0005,1.5082
17.0,0.9965,1.4909
18.0,0.9906,1.5019
19.0,0.9969,1.4866
20.0,1.0001,1.5126
21.0,0.9967,1.5028
22.0,1.0155,1.505
23.0,1.0121,1.5062
24.0,0.9675,1.4848
25.0,0.9773,1.5117
26.0,0.9979,1.5309
27.0,0.9949,1.4754
28.0,1.0026,1.4741
29.0,1.0026,1.4774
30.0,1.0254,1.5126
31.0,0.9867,1.5019
32.0,0.9955,1.5162
33.0,1.0245,1.5108
34.0,1.0078,1.5032
35.0,1.008,1.5043
36.0,0.9938,1.4975
37.0,0.9802,1.513
38.0,1.002,1.4831
39.0,1.0013,1.4937
40.0,0.9853,1.5036
41.0,0.9918,1.527
42.0,0.9991,1.4885
43.0,0.9887,1.4838
44.0,0.9988,1.4916
45.0,1.0011,1.5145
46.0,1.0004,1.4965
47.0,0.9939,1.5199
48.0,1.0071,1.4719
49.0,1.0107,1.5169
50.0,1.0039,1.5155
51.0,0.9902,1.4787
52.0,1.0088,1.5023
53.0,0.994,1.5182
54.0,1.0105,1.5013
55.0,0.9871,1.515
56.0,1.011,1.5356
57.0,0.9998,1.5041
58.0,0.985,1.4958
59.0,0.9962,1.4884
60.0,1.0006,1.5097
61.0,1.0033,1.497
62.0,0.9882,1.4973
63.0,0.9867,1.4984
64.0,1.0024,1.5097
65.0,0.9944,1.484
66.0,1.0028,1.4771
67.0,1.0091,1.4635
68.0,0.9802,1.518
69.0,1.0031,1.5011
70.0,1.0147,1.5227
71.0,1.0531,1.5574
72.0,1.0876,1.5912
73.0,1.1355,1.6444
74.0,1.1503,1.6632
75.0,1.173,1.6667
76.0,1.1688,1.6887
77.0,1.1628,1.7413
78.0,1.1848,1.7301
79.0,1.1847,1.7388
80.0,1.2022,1.7345
81.0,1.1972,1.733
82.0,1.1768,1.7604
83.0,1.183,1.7483
84.0,1.2087,1.7408
85.0,1.2068,1.7519
86.0,1.1914,1.7417
87.0,1.1993,1.7591
88.0,1.2049,1.7741
89.0,1.2053,1.7452
90.0,1.2103,1.7797
91.0,1.2029,1.7486
92.0,1.1987,1.7612
93.0,1.1968,1.7466
94.0,1.2126,1.756
95.0,1.1729,1.7602
96.0,1.1983,1.7531
97.0,1.2004,1.7492
98.0,1.1829,1.7496
99.0,1.204,1.7475
100.0,1.1922,1.7363
101.0,1.2103,1.7559
102.0,1.1985,1.7659
103.0,1.208,1.7736
104.0,1.2146,1.7697
105.0,1.2046,1.7968
106.0,1.1895,1.7647
107.0,1.1818,1.7531
108.0,1.221,1.7881
109.0,1.1987,1.7443
110.0,1.1917,1.7745
111.0,1.2017,1.7457
112.0,1.1977,1.7653
