Time (s),Channel A (uA),Channel B (uA)
0.0,0.85,1.2739
1.0,0.8536,1.28
2.0,0.8467,1.2796
3.0,0.8393,1.2947
4.0,0.8445,1.2653
5.0,0.8381,1.2972
6.0,0.8507,1.2856
7.0,0.8661,1.3134
8.0,0.8441,1.3144
9.0,0.8426,1.3209
10.0,0.8559,1.3115
11.0,0.8543,1.2992
12.0,0.8513,1.3129
13.0,0.8388,1.3226
14.0,0.8496,1.2902
15.0,0.8583,1.3092
16.0,0.8339,1.2994
17.0,0.8445,1.3216
18.0,0.8272,1.2874
19.0,0.8345,1.2955
20.0,0.8279,1.3054
21.0,0.8472,1.3039
22.0,0.8348,1.2754
23.0,0.8533,1.3054
24.0,0.8519,1.2982
25.0,0.8478,1.2964
26.0,0.8198,1.2977
27.0,0.8435,1.3033
28.0,0.8494,1.2728
29.0,0.8514,1.3233
30.0,0.8316,1.2871
31.0,0.8443,1.2664
32.0,0.8383,1.2988
33.0,0.8403,1.3219
34.0,0.8627,1.2922
35.0,0.8403,1.3233
36.0,0.8496,1.3234
37.0,0.8606,1.2871
38.0,0.843,1.263
39.0,0.8487,1.2815
40.0,0.8513,1.3178
41.0,0.8508,1.2877
42.0,0.8353,1.2773
43.0,0.8509,1.2799
44.0,0.8663,1.3
45.0,0.8314,1.2996
46.0,0.8603,1.3131
47.0,0.8514,1.3148
48.0,0.8423,1.286
49.0,0.874,1.2976
50.0,0.8591,1.283
51.0,0.8356,1.3011
52.0,0.8509,1.2827
53.0,0.8569,1.282
54.0,0.8477,1.3319
55.0,0.8582,1.3005
56.0,0.8492,1.3096
57.0,0.858,1.3381
58.0,0.8673,1.3118
59.0,0.8419,1.2983
60.0,0.8524,1.3008
61.0,0.8444,1.2888
62.0,0.8515,1.3164
63.0,0.8358,1.295
64.0,0.843,1.3264
65.0,0.8476,1.2948
66.0,0.8608,1.2947
67.0,0.8637,1.2937
68.0,0.8341,1.3094
69.0,0.8405,1.3028
70.0,0.8578,1.3206
71.0,0.8757,1.3404
72.0,0.9296,1.3909
73.0,0.9595,1.4451
74.0,0.994,1.4355
75.0,1.0002,1.465
76.0,0.9974,1.4945
77.0,1.0036,1.4901
78.0,1.0098,1.4807
79.0,1.0346,1.4659
80.0,1.0136,1.5378
81.0,1.0169,1.5124
82.0,1.026,1.528
83.0,1.0213,1.5043
84.0,1.021,1.5406
85.0,1.0105,1.5226
86.0,1.024,1.5167
87.0,1.0191,1.5033
88.0,1.0386,1.5231
89.0,1.0325,1.5108
90.0,1.0245,1.5152
91.0,1.0329,1.4945
92.0,1.0208,1.5117
93.0,1.0375,1.5217
94.0,1.0249,1.5007
95.0,1.032,1.5207
96.0,1.0095,1.5296
97.0,1.0291,1.5151
98.0,1.0047,1.5105
99.0,1.0006,1.5105
100.0,1.0213,1.534
101.0,1.0142,1.4969
102.0,1.027,1.5154
103.0,1.0519,1.5137
104.0,1.015,1.5221
105.0,1.0175,1.5189
106.0,1.0275,1.5034
107.0,1.0309,1.5506
108.0,1.0229,1.5226
109.0,1.0225,1.4999
110.0,1.0334,1.5066
111.0,1.0312,1.5215
112.0,1.0126,1.5292
113.0,1.024,1.4999
114.0,1.0254,1.5307
115.0,1.0123,1.4994
116.0,1.0281,1.5081
117.0,1.0147,1.5328
118.0,1.0367,1.5455
119.0,1.0273,1.5187
120.0,1.0261,1.5154
121.0,1.0179,1.539
122.0,1.0236,1.5039
123.0,1.001,1.5242
124.0,1.0114,1.5235
125.0,1.0294,1.5351
126.0,0.9995,1.5245
127.0,1.0352,1.516
128.0,1.004,1.5292
129.0,1.0341,1.5031
130.0,1.0149,1.5322
131.0,1.2328,1.7046
132.0,1.3672,1.8526
133.0,1.449,1.9788
134.0,1.5555,2.077
135.0,1.6101,2.1585
136.0,1.6295,2.2005
137.0,1.6538,2.2581
138.0,1.6744,2.2955
139.0,1.6784,2.3057
140.0,1.7132,2.313
141.0,1.7006,2.3575
142.0,1.7116,2.3603
143.0,1.7063,2.3342
144.0,1.7109,2.3586
145.0,1.705,2.3815
146.0,1.7367,2.3633
147.0,1.7207,2.3772
148.0,1.7349,2.3645
149.0,1.7239,2.3984
150.0,1.7158,2.3977
151.0,1.7204,2.398
152.0,1.7178,2.4181
153.0,1.7248,2.3919
154.0,1.7203,2.3935
155.0,1.7212,2.4286
156.0,1.7083,2.3792
157.0,1.7152,2.4099
158.0,1.7448,2.3795
159.0,1.7169,2.4029
160.0,1.7123,2.4313
161.0,1.729,2.4037
162.0,1.7419,2.3881
163.0,1.7075,2.4355
164.0,1.7225,2.3917
165.0,1.7174,2.3968
166.0,1.7039,2.4045
167.0,1.7338,2.3798
168.0,1.7247,2.4167
169.0,1.7259,2.4242
170.0,1.716,2.4113
171.0,1.7305,2.4049
172.0,1.7185,2.3977
173.0,1.7233,2.4133
174.0,1.7117,2.3527
175.0,1.7104,2.3981
176.0,1.741,2.4038
177.0,1.7189,2.3702
178.0,1.7285,2.4064
179.0,1.7246,2.3981
180.0,1.7197,2.3995
181.0,1.7189,2.4015
182.0,1.7326,2.4086
183.0,1.7214,2.4069
184.0,1.7232,2.3844
185.0,1.7253,2.3982
186.0,1.7391,2.3973
187.0,1.7332,2.4006
188.0,1.7296,2.3911
189.0,1.7182,2.4145
190.0,1.7084,2.4196
191.0,1.9844,2.6661
192.0,2.1624,2.8614
193.0,2.2764,3.0028
194.0,2.3759,3.0884
195.0,2.4441,3.1756
196.0,2.4916,3.2486
197.0,2.5262,3.3172
198.0,2.5337,3.3492
199.0,2.5746,3.3989
200.0,2.5538,3.4345
201.0,2.588,3.4232
202.0,2.5899,3.4599
203.0,2.599,3.4515
204.0,2.6143,3.4478
205.0,2.6119,3.4551
206.0,2.582,3.4751
207.0,2.5767,3.4558
208.0,2.6076,3.4953
209.0,2.5863,3.5131
210.0,2.5987,3.4751
211.0,2.6093,3.4892
212.0,2.5797,3.5187
213.0,2.5743,3.5017
214.0,2.6028,3.5002
215.0,2.6003,3.494
216.0,2.5969,3.5136
217.0,2.6004,3.5037
218.0,2.5896,3.4827
219.0,2.5818,3.4627
220.0,2.598,3.4592
221.0,2.5883,3.5094
222.0,2.5803,3.4956
223.0,2.6061,3.5214
224.0,2.5993,3.5074
225.0,2.6049,3.4807
226.0,2.5881,3.5042
227.0,2.5921,3.5178
228.0,2.588,3.4864
229.0,2.5894,3.4923
230.0,2.6023,3.5261
231.0,2.5906,3.4738
232.0,2.6043,3.4836
233.0,2.6041,3.5157
234.0,2.6243,3.503
235.0,2.5833,3.4828
236.0,2.6107,3.4782
237.0,2.5989,3.5069
