Time (s),Potential (mV)
0.0,-8.378
1.0,-8.916
2.0,-8.2
3.0,-8.124
4.0,-9.28
5.0,-9.021
6.0,-8.449
7.0,-8.626
8.0,-8.507
9.0,-8.841
10.0,-8.148
11.0,-8.189
12.0,-8.474
13.0,-8.049
14.0,-8.313
15.0,-8.844
16.0,-8.352
17.0,-8.884
18.0,-8.149
19.0,-8.52
20.0,-8.574
21.0,-8.772
22.0,-8.011
23.0,-8.562
24.0,-8.671
25.0,-8.641
26.0,-8.287
27.0,-8.354
28.0,-8.335
29.0,-8.328
30.0,-7.643
31.0,-8.663
32.0,-8.705
33.0,-8.826
34.0,-8.254
35.0,-8.048
36.0,-8.546
37.0,-8.836
38.0,-8.83
39.0,-8.24
40.0,-8.203
41.0,-8.283
42.0,-8.766
43.0,-8.407
44.0,-8.453
45.0,-8.413
46.0,-8.151
47.0,-8.411
48.0,-8.228
49.0,-8.473
50.0,-8.384
51.0,-7.997
52.0,-8.583
53.0,-7.878
54.0,-7.688
55.0,-7.506
56.0,-7.11
57.0,-6.152
58.0,-6.846
59.0,-5.863
60.0,-6.673
61.0,-5.884
62.0,-5.435
63.0,-5.016
64.0,-4.716
65.0,-4.433
66.0,-4.639
67.0,-4.435
68.0,-3.657
69.0,-3.827
70.0,-4.01
71.0,-3.953
72.0,-3.868
73.0,-3.301
74.0,-3.443
75.0,-3.224
76.0,-3.671
77.0,-3.437
78.0,-3.25
79.0,-3.624
80.0,-3.317
81.0,-3.765
82.0,-3.645
83.0,-3.653
84.0,-3.978
85.0,-3.305
86.0,-3.688
87.0,-3.495
88.0,-3.308
89.0,-3.321
90.0,-3.234
91.0,-3.539
92.0,-3.669
93.0,-3.532
94.0,-4.175
95.0,-4.079
96.0,-4.029
97.0,-3.899
98.0,-3.34
99.0,-3.862
100.0,-3.651
101.0,-2.98
102.0,-3.643
103.0,-3.205
104.0,-3.873
105.0,-3.582
106.0,-3.88
107.0,-3.636
108.0,-3.164
109.0,-4.191
110.0,-3.326
111.0,-2.36
112.0,-1.648
113.0,-0.943
114.0,0.709
115.0,1.513
116.0,2.863
117.0,3.824
118.0,5.501
119.0,5.809
120.0,6.541
121.0,8.067
122.0,9.128
123.0,10.629
124.0,11.464
125.0,12.318
126.0,13.805
127.0,13.789
128.0,15.054
129.0,15.984
130.0,17.244
131.0,16.849
132.0,17.654
133.0,17.311
134.0,16.812
135.0,16.994
136.0,17.525
137.0,17.735
138.0,18.199
139.0,18.566
140.0,17.566
141.0,17.004
142.0,16.547
143.0,17.507
144.0,17.075
145.0,17.234
146.0,17.155
147.0,17.344
148.0,17.826
149.0,17.463
150.0,17.337
151.0,16.986
152.0,16.73
153.0,17.205
154.0,17.378
155.0,18.107
156.0,17.452
157.0,17.793
158.0,17.2
159.0,16.926
160.0,17.014
161.0,17.11
162.0,18.251
163.0,17.071
164.0,17.735
165.0,17.039
166.0,17.773
167.0,17.554
168.0,17.337
169.0,17.384
170.0,17.138
171.0,20.478
172.0,23.018
173.0,25.61
174.0,28.489
175.0,31.969
176.0,35.432
177.0,37.764
178.0,40.553
